source	target
1	9
1	6
1	5
1	8
2	7
2	6
2	5
2	9
3	7
3	1
3	8
3	7
3	2
4	3
4	6
4	8
4	9
4	1
5	6
5	7
5	1
5	8
6	12
6	8
6	2
6	18
6	10
7	13
7	6
7	15
7	1
7	14
8	11
8	6
8	2
8	9
8	1
9	2
9	19
9	10
9	8
9	4
10	6
10	18
10	5
10	9
10	13
11	7
11	1
11	12
11	8
11	6
12	2
12	15
12	3
12	18
12	13
13	7
13	14
13	11
13	3
13	5
14	1
14	2
14	4
14	9
14	6
15	8
15	10
15	17
15	9
15	13
16	14
16	2
16	4
16	5
16	12
17	8
17	5
17	4
17	7
17	1
18	11
18	5
18	13
18	2
18	10
19	18
19	13
19	2
19	6
19	15
20	6
20	3
20	5
20	4
20	19
21	1641
21	1566
21	4520
21	3169
21	7129
22	4913
22	5542
22	7272
22	1320
22	1491
23	2789
23	3386
23	4346
23	6572
23	662
24	1340
24	7617
24	1436
24	8021
24	5638
25	8849
25	8930
25	6585
25	4163
25	3885
26	3166
26	6881
26	8634
26	5532
26	6229
27	7962
27	5518
27	7257
27	6837
27	8357
28	674
28	6223
28	5942
28	1651
28	2968
29	6478
29	6550
29	735
29	1726
29	893
30	1314
30	7844
30	5568
30	3721
30	4625
31	5038
31	7631
31	8497
31	5681
31	685
32	3108
32	5961
32	500
32	7683
32	7772
33	3955
33	4432
33	7712
33	1378
33	2617
34	1554
34	1365
34	5264
34	2908
34	3522
35	4924
35	3638
35	1670
35	5940
35	8606
36	1254
36	3988
36	483
36	8923
36	702
37	6063
37	3795
37	3113
37	4091
37	2142
38	1458
38	7438
38	3463
38	7146
38	6322
39	6109
39	7548
39	6720
39	4460
39	4377
40	2650
40	1131
40	2680
40	2349
40	3434
41	2072
41	4319
41	6901
41	4443
41	8743
42	1810
42	3605
42	3008
42	6899
42	3404
43	5543
43	5779
43	4298
43	501
43	2555
44	193
44	1351
44	3226
44	8392
44	6151
45	6196
45	7202
45	354
45	4252
45	8859
46	7770
46	7535
46	6603
46	1927
46	6871
47	710
47	7290
47	3472
47	2090
47	8672
48	8267
48	8015
48	130
48	3730
48	8533
49	1622
49	3770
49	1027
49	5749
49	100
50	3182
50	132
50	231
50	4716
50	2646
51	1023
51	4079
51	7088
51	2969
51	1700
52	6439
52	6974
52	2459
52	4192
52	8048
53	2163
53	6107
53	5383
53	8089
53	5088
